mcc,mcc_description,labelled_transactions,fraud_transactions,fraud_rate
5311,Department Stores,318511,2251,0.007067259843459095
5300,Wholesale Clubs,403343,991,0.002456965907428665
5310,Discount Stores,165755,859,0.005182347440499532
4829,Money Transfer,394401,725,0.0018382306332894694
5912,Drug Stores and Pharmacies,517400,479,0.0009257827599536142
5815,"Digital Goods - Media, Books, Apps",41967,449,0.010698882455262468
5411,"Grocery Stores, Supermarkets",1066833,425,0.0003983753783394402
5732,Electronics Stores,4689,402,0.08573256557901472
5651,Family Clothing Stores,48647,385,0.007914157090879191
5719,Miscellaneous Home Furnishing Stores,57608,313,0.0054332731565060405
